"","lat","lon","species"
"1931",28.033,-17.183,"Boops boops"
"1941",27.6747,-18.0294,"Boops boops"
"1951",28.4566,-17.8497,"Boops boops"
"1961",27.6521,-18.0128,"Boops boops"
"1981",27.6469,-18.003,"Boops boops"
"2001",28.179,-17.1735,"Boops boops"
"2011",42.192167,-8.901961,"Boops boops"
"2031",42.193,-8.90202,"Boops boops"
"2051",38.86,0.009,"Boops boops"
"2081",41.7071,2.9144,"Boops boops"
"2121",47.56508,-2.92377,"Boops boops"
"220",42.49468,3.1822,"Boops boops"
"2221",36.003641,-5.605012,"Boops boops"
"2371",41.8909,3.20708,"Boops boops"
"246",42.608,8.78616,"Boops boops"
"251",36.004871,-5.606042,"Boops boops"
"259",42.49481,3.06073,"Boops boops"
"278",36.8174,-2.5531,"Boops boops"
"279",42.85445,3.06111,"Boops boops"
"280",36.8174,-2.5494,"Boops boops"
"282",42.94437,3.06121,"Boops boops"
"283",36.8247,-2.5124,"Boops boops"
"286",36.222257,-5.316954,"Boops boops"
"291",36.7619,-2.1013,"Boops boops"
"292",36.8174,-2.5451,"Boops boops"
"294",36.8243,-2.5184,"Boops boops"
"295",36.7395,-2.1141,"Boops boops"
"313",41.9163,3.2147,"Boops boops"
"316",41.896,3.20418,"Boops boops"
"318",32.7411,-16.7101,"Boops boops"
"319",43.28016,5.2781,"Boops boops"
"320",38.76,0.2,"Boops boops"
"324",38.75,0.22,"Boops boops"
"331",47.64102,-3.19937,"Boops boops"
"338",28.2839,-16.8639,"Boops boops"
"341",35.41515,24.989153,"Boops boops"
"347",35.253742,25.759397,"Boops boops"
"349",35.250289,25.764758,"Boops boops"
"351",35.401329,25.034015,"Boops boops"
"357",35.675022,25.061103,"Boops boops"
"360",35.331975,25.391586,"Boops boops"
"361",35.414883,25.021123,"Boops boops"
"363",35.196396,25.717553,"Boops boops"
"365",35.249369,25.733492,"Boops boops"
"366",39.46,-0.3,"Boops boops"
"367",42.0502,3.22492,"Boops boops"
"368",41.71,2.90592,"Boops boops"
"370",43.66989,7.27874,"Boops boops"
"377",42.07017,8.73319,"Boops boops"
"379",43.49499,7.14195,"Boops boops"
"380",43.333,6.63675,"Boops boops"
"383",38.268376,22.282562,"Boops boops"
"385",43.16868,6.13441,"Boops boops"
"388",37.706912,23.914089,"Boops boops"
"390",39.954491,23.691216,"Boops boops"
"391",35.334313,25.292623,"Boops boops"
"393",38.361042,22.093277,"Boops boops"
"395",39.108085,26.566987,"Boops boops"
"397",39.42,-0.33,"Boops boops"
"398",28.3416,-16.9198,"Boops boops"
"400",28.3423,-16.9179,"Boops boops"
"404",28.3429,-16.9213,"Boops boops"
"406",28.4013,-16.3312,"Boops boops"
"407",28.2208,-16.4127,"Boops boops"
"409",28.4061,-16.3148,"Boops boops"
"4111",28.0943,-16.4819,"Boops boops"
"412",28.2945,-16.3737,"Boops boops"
"414",28.0988,-16.4796,"Boops boops"
"416",0.343289,6.732131,"Boops boops"
"417",35.400011,25.029558,"Boops boops"
"419",42.75259,9.41243,"Boops boops"
"429",35.195089,25.717256,"Boops boops"
"430",35.222783,25.724431,"Boops boops"
"4311",39.44,-0.31,"Boops boops"
"432",35.201692,25.717244,"Boops boops"
"434",35.227358,25.734764,"Boops boops"
"435",28.4021,-16.3283,"Boops boops"
"436",38.83,0.14,"Boops boops"
"439",35.249869,25.757311,"Boops boops"
"4411",35.403208,25.028197,"Boops boops"
"442",38.81,0.16,"Boops boops"
"443",28.6784,-17.7654,"Boops boops"
"444",28.2481,-16.8435,"Boops boops"
"445",28.2878,-16.3784,"Boops boops"
"446",35.150208,25.725411,"Boops boops"
"447",28.6715,-17.7639,"Boops boops"
"448",28.6742,-17.7647,"Boops boops"
"449",28.4553,-17.8444,"Boops boops"
"455",35.401547,25.026878,"Boops boops"
"457",28.2685,-16.851,"Boops boops"
"464",28.5858,-17.9116,"Boops boops"
"471",43.5482,13.6284,"Boops boops"
"472",28.662,-17.769,"Boops boops"
"476",39.25,-0.25,"Boops boops"
"479",35.432706,25.232489,"Boops boops"
"483",28.179,-16.818,"Boops boops"
"484",35.101144,24.562364,"Boops boops"
"485",28.079,-16.738,"Boops boops"
"487",28.0871,-16.4903,"Boops boops"
"495",35.406219,25.043564,"Boops boops"
